Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,2.0,,"(-224.6, -29.4, 60.6)",,"(-3.8, 7.8, 0.0)",,8.6,,5489.3,,1857.6,
,,3.0,,"(-225.5, -34.2, 60.6)",,"(-0.9, -4.8, 0.0)",,4.9,,3926.2,,1555.9,
,,4.0,,"(-222.0, -33.4, 68.2)",,"(3.6, 0.8, 7.6)",,8.4,,4266.8,,1563.5,
,,5.0,,"(-228.6, -29.7, 64.4)",,"(-6.6, 3.7, -3.8)",,8.4,,5486.8,,1970.2,
,,6.0,,"(-229.9, -27.0, 68.2)",,"(-1.3, 2.7, 3.8)",,4.9,,4542.2,,1593.8,
,,7.0,,"(-226.4, -23.7, 68.2)",,"(3.4, 3.3, 0.0)",,4.8,,4429.1,,1638.2,
,,8.0,,"(-229.1, -23.3, 68.2)",,"(-2.6, 0.4, 0.0)",,2.7,,3755.1,,1463.8,
,,9.0,,"(-228.3, -18.8, 75.8)",,"(0.8, 4.5, 7.6)",,8.8,,4634.7,,1612.5,
,,10.0,,"(-228.4, -21.9, 75.8)",,"(-0.1, -3.1, 0.0)",,3.1,,3953.4,,1482.1,
,,11.0,,"(-225.9, -21.2, 75.8)",,"(2.5, 0.7, 0.0)",,2.6,,4892.5,,1684.7,
,,12.0,,"(-228.3, -27.3, 75.8)",,"(-2.5, -6.1, 0.0)",,6.6,,4139.5,,1489.5,
,,13.0,,"(-230.7, -34.9, 72.0)",,"(-2.4, -7.6, -3.8)",,8.8,,5420.3,,1872.7,
,,14.0,,"(-232.8, -42.3, 64.4)",,"(-2.0, -7.4, -7.6)",,10.8,,4924.3,,1607.4,
,,15.0,,"(-237.4, -42.3, 56.8)",,"(-4.6, 0.0, -7.6)",,8.9,,5315.1,,1699.5,
,,16.0,,"(-238.7, -42.8, 53.0)",,"(-1.3, -0.6, -3.8)",,4.0,,3561.2,,1343.8,
,,17.0,,"(-242.2, -37.2, 56.8)",,"(-3.5, 5.6, 3.8)",,7.7,,6289.7,,1979.0,
,,18.0,,"(-240.7, -40.5, 60.6)",,"(1.6, -3.3, 3.8)",,5.2,,6209.1,,1817.8,
,,19.0,,"(-245.4, -37.4, 56.8)",,"(-4.7, 3.0, -3.8)",,6.8,,7109.3,,2063.6,
,,20.0,,"(-245.5, -37.8, 56.8)",,"(-0.1, -0.4, 0.0)",,0.4,,5974.2,,1913.2,
,,21.0,,"(-243.2, -39.7, 56.8)",,"(2.3, -1.9, 0.0)",,3.0,,7162.1,,2180.6,
,,22.0,,"(-240.6, -39.8, 64.4)",,"(2.6, -0.1, 7.6)",,8.0,,6981.8,,2069.7,
,,23.0,,"(-250.4, -35.8, 56.8)",,"(-9.8, 4.1, -7.6)",,13.1,,6337.6,,1941.9,
"3_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-292.4, 8.4, 64.4)",,,,,,6184.1,,1981.5,
,,1.0,,"(-300.1, 6.5, 64.4)",,"(-7.7, -1.9, 0.0)",,8.0,,6833.3,,2109.0,
,,2.0,,"(-305.8, 13.4, 60.6)",,"(-5.6, 6.9, -3.8)",,9.7,,5902.7,,1841.0,
,,3.0,,"(-307.6, 7.4, 60.6)",,"(-1.8, -6.0, 0.0)",,6.2,,5864.8,,1811.7,
,,4.0,,"(-308.0, 0.6, 64.4)",,"(-0.3, -6.9, 3.8)",,7.9,,6408.2,,1991.0,
,,5.0,,"(-311.8, 6.6, 68.2)",,"(-3.8, 6.0, 3.8)",,8.1,,5576.9,,1728.5,
,,6.0,,"(-314.1, 7.5, 68.2)",,"(-2.3, 1.0, 0.0)",,2.5,,5748.8,,1752.3,
,,7.0,,"(-310.9, 5.0, 72.0)",,"(3.2, -2.5, 3.8)",,5.6,,6451.1,,1933.8,
,,8.0,,"(-316.5, 4.2, 72.0)",,"(-5.5, -0.9, 0.0)",,5.6,,6495.9,,1905.9,
,,9.0,,"(-320.6, 11.4, 68.2)",,"(-4.1, 7.2, -3.8)",,9.1,,6227.8,,1894.4,
,,10.0,,"(-322.5, 8.5, 68.2)",,"(-1.9, -2.9, 0.0)",,3.5,,6293.9,,1915.5,
,,11.0,,"(-326.2, 7.8, 68.2)",,"(-3.7, -0.7, 0.0)",,3.7,,6139.1,,1925.7,
,,12.0,,"(-331.3, 15.5, 64.4)",,"(-5.1, 7.7, -3.8)",,10.0,,8820.5,,2561.7,
,,13.0,,"(-331.4, 15.1, 68.2)",,"(-0.1, -0.3, 3.8)",,3.8,,7334.6,,2216.7,
,,14.0,,"(-332.5, 13.2, 64.4)",,"(-1.1, -1.9, -3.8)",,4.4,,7270.1,,2181.9,
,,15.0,,"(-334.2, 12.5, 64.4)",,"(-1.7, -0.8, 0.0)",,1.9,,8341.9,,2625.9,
,,16.0,,"(-332.2, 18.4, 64.4)",,"(1.9, 6.0, 0.0)",,6.3,,8216.3,,2404.5,
,,17.0,,"(-336.0, 17.8, 64.4)",,"(-3.8, -0.6, 0.0)",,3.8,,7484.9,,2266.4,
,,18.0,,"(-337.4, 20.4, 64.4)",,"(-1.4, 2.6, 0.0)",,2.9,,11123.0,,3537.4,
,,19.0,,"(-343.0, 19.8, 60.6)",,"(-5.6, -0.7, -3.8)",,6.8,,7419.2,,2085.8,
,,20.0,,"(-345.8, 15.9, 60.6)",,"(-2.7, -3.9, 0.0)",,4.8,,6723.7,,1978.1,
,,21.0,,"(-346.0, 20.9, 60.6)",,"(-0.3, 5.0, 0.0)",,5.0,,8804.1,,2410.2,
,,22.0,,"(-347.2, 19.3, 60.6)",,"(-1.1, -1.6, 0.0)",,2.0,,8508.6,,2355.8,
,,23.0,,"(-350.5, 20.9, 60.6)",,"(-3.4, 1.6, 0.0)",,3.7,,7444.4,,2160.1,
"4_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-187.1, 69.5, 60.6)",,,,,,6285.5,,1940.1,
,,1.0,,"(-188.3, 69.7, 64.4)",,"(-1.3, 0.2, 3.8)",,4.0,,7738.8,,2131.9,
,,2.0,,"(-185.3, 74.0, 64.4)",,"(3.0, 4.3, 0.0)",,5.2,,7915.1,,2202.0,
,,3.0,,"(-186.1, 72.7, 64.4)",,"(-0.7, -1.3, 0.0)",,1.5,,8170.9,,2269.7,
,,4.0,,"(-198.4, 68.9, 49.2)",,"(-12.4, -3.8, -15.2)",,19.9,,6105.9,,2018.3,
,,5.0,,"(-196.4, 62.3, 37.9)",,"(2.0, -6.7, -11.4)",,13.3,,8655.9,,2383.2,
,,6.0,,"(-195.5, 58.9, 30.3)",,"(0.9, -3.4, -7.6)",,8.3,,6964.0,,1987.7,
,,7.0,,"(-196.7, 59.3, 37.9)",,"(-1.2, 0.4, 7.6)",,7.7,,7110.2,,2059.1,
